id,panoid,date,lat,lon,svf,tvf,bvf
0,RD15IkW1-c4nF8bwUMaxIA,2019-05,37.7629036,-122.4347178,0.712105235218,0.136513899217,0.11538594215
1,kYL5yN3jtuHddt8NnalojA,2019-05,37.76321314348476,-122.4342870756938,0.584927816418,0.298717871319,0.0930382122018
2,rWOZt88iiNcd2e2woZCpzA,2019-05,37.76357923967156,-122.4338068268431,0.565102905052,0.258827031395,0.157873683216
3,Ch5Xgttt4c6NiI9CEtnj1A,2019-05,37.76401056700588,-122.4334812652118,0.685348431769,0.162943316802,0.108496150983
4,eFdq76wfxoCvbU1HFMGY_A,2019-05,37.76438379081677,-122.4330225739565,0.799578531873,0.0537257604581,0.115966781739
5,Z0ZBluHIB-3OPYsihGiL_A,2019-05,37.76469404956919,-122.4323781744796,0.607696289804,0.277603841057,0.0941611196441
6,Yu5_OyVPzz4rt-Ui3CbRgg,2019-05,37.76510419379388,-122.4321001820534,0.597995088614,0.310999483709,0.0712089537388
7,HMF0wk9MwM9w1iSi7kPcGA,2019-05,37.76542224054352,-122.4317068736808,0.61263916975,0.23813020532,0.115577945747
8,rZkUtXofWVp1d6fuPyj7mg,2019-05,37.76573680180233,-122.4313249977998,0.653766998531,0.189729068907,0.0987623288745
9,kQVmxMJtX-iWtBptBDRxBA,2019-05,37.76612969758266,-122.4308508197727,0.594492989008,0.112123441889,0.233447088375
10,F5MRlFf8SrH6DP6pKgLCFQ,2019-05,37.76640765268064,-122.4304758918204,0.438290941351,0.207497146421,0.329891100817
11,nsjaQJEvzR5v8xd8kW_eXQ,2019-05,37.76669906666616,-122.4301012151072,0.472996626014,0.347642773821,0.168177098969
12,Ah7LIxQmyk5rI0naDiPI1Q,2019-05,37.76707653333323,-122.4296134430214,0.520818356457,0.294896727818,0.170121301875
13,WQl6Ohw7qYmdkKClRLLbHA,2019-05,37.76733684896963,-122.4292815322593,0.351117241828,0.537822741729,0.0719236377208
14,C-3FuKX1gBqxjLIA5i6D1A,2019-05,37.76775144635818,-122.4288150440432,0.722518581458,0.12110280032,0.0993936412353
15,-ktDluZJr2TN9GMVCj6Psg,2019-05,37.76804821728091,-122.4284521790169,0.473119536049,0.419965087206,0.0690970076501
16,ZRkaSS3iZxYt9cX-cVkw_Q,2019-05,37.76833948712594,-122.4280737024153,0.483453139434,0.404225522317,0.0849919416107
17,d2bvHVd0Y1CYovAXBNJp2g,2013-11,37.7686804,-122.4276299,0.675052006091,0.146815542474,0.150517494745
18,tAbuhs8aKr0pNDPom_iqBg,2019-05,37.76904251461135,-122.4271624817358,0.711550808878,0.120830707633,0.13669945535
19,Sfkruzuj2xIvFLYVPzAUkw,2019-05,37.76936686305064,-122.4267378587871,0.794682513003,0.0753336982677,0.0902799840351
20,dpSotf-RMqxtByzN6ENYRA,2019-05,37.76969649163344,-122.4263444708076,0.683335512126,0.0601513298484,0.207183460363
21,GOR945kX40aC-LsUgeBRgg,2019-05,37.77000166148175,-122.4259466760386,0.482610261551,0.202520667742,0.270659210049
22,1izdm2XmYUA9I2OBV0WS5Q,2017-02,37.7702998783481,-122.4255627095465,0.603070542057,0.150838838812,0.213469398826
23,NJCgMDMRSFvQRATJQqB1IA,2017-02,37.77071514963441,-122.4250323871564,0.663926248797,0.0882812583792,0.223733712393
24,LknJA-WlFl584DVnZbTChA,2017-02,37.77102404311363,-122.4246538733351,0.554668674308,0.132206013863,0.284242278954
25,iePaZGvn9hsUjExAuYE3bA,2017-02,37.77133411100482,-122.4242596359265,0.55828129584,0.0469813032658,0.373549659997
26,WqEI-VuJFGvclyiEMtllcw,2019-05,37.7716434,-122.4238456,0.601485101645,0.232111243065,0.13014144065
27,ZievOtC4oQBnnl1hIArvHw,2019-05,37.77196220958532,-122.4234484779774,0.755998155332,0.0920705711403,0.0932827009684
28,i8GEvL7IbT4ml7s3g8CG7g,2019-05,37.77225822842811,-122.4230829734184,0.423447558285,0.316844495082,0.208377643645
29,T2lhqlrN4DjYSJ1B6vbcTA,2019-05,37.7725376,-122.4227233,0.45123219899,0.329821264769,0.178300610978
30,8CCvxbQOCMCwFHvYYvrLiw,2019-05,37.7728289,-122.4221587,0.37788399609,0.392819265602,0.196758478655
31,jIZcyS7HDWmaXmObn4Zsig,2019-05,37.7731448,-122.4217678,0.579973783957,0.212711688639,0.152674152798
32,PiXg1CRTEEuADuiZsnzVzw,2018-06,37.77350736981763,-122.4213621708663,0.57990465189,0.259357643286,0.117219573379
33,IJsEr3LR416quYuQUQp3vg,2018-06,37.77382279263777,-122.4209622488676,0.592650917441,0.200518387408,0.170834120316
34,-OCymEFw8RecPwYP5rgQOg,2019-05,37.77414629229204,-122.4204495436281,0.50948869415,0.283257542231,0.156806036425
35,OmAIZFyRgqGiNKRYn7jMow,2019-04,37.77452656510907,-122.4200906226069,0.432667200607,0.393271649066,0.152772479024
36,HQsFI2I4XPOrusHk8humtQ,2019-04,37.7748099,-122.4197303,0.498254136166,0.306114823093,0.168497397593
37,kSz8rtDt0ULhrFcg3tkyWw,2019-04,37.77515377341801,-122.4192943234314,0.61252136171,0.0283597097915,0.264933407313
38,acoRYJ3krzRAFU84yX9oOQ,2019-04,37.77550610733598,-122.4188511248033,0.431193338643,0.0825838724547,0.454340752316
39,Oo0fQHIbZ5M73WDXukvMHA,2019-04,37.77579427080663,-122.4184843281767,0.366167869197,0.176493866509,0.436105559729
40,fgP6u8MgZrA_je-w2J-FuA,2019-04,37.77606154528439,-122.4181443329459,0.402023679052,0.0746648041076,0.493846696453
41,TfWeq_uOYQ6qzrZPiCA-tQ,2019-04,37.77638370105039,-122.4177267027837,0.425211094217,0.0349158890671,0.48264396976
42,O1h54IKMFzN6i0gzf5KDXg,2017-02,37.77674351051228,-122.4172853852307,0.391921698169,0.0266421099109,0.547067526846
43,jckPuah1r1uI8Gi7jPrPhQ,2017-02,37.7770499391032,-122.4168972306911,0.419565258186,0.0120551954933,0.545657744282
44,7GKUOdWHKOAlNbqbBLcssQ,2016-10,37.77734309604701,-122.4165222384526,0.218619561151,0.0851203911635,0.658426417538
45,7HMYMOiUqwMgPmyWtv3gzw,2019-03,37.77776507083307,-122.4159878952412,0.427830341633,0.0295316199204,0.509828153683
48,edN-afFm33_MOwP2DWV3SA,2019-04,37.77864209517199,-122.4148813804243,0.551312955136,0.185961623575,0.211808729156
49,TKtPxHZgIG_p1--ieixiJQ,2019-04,37.77898599254257,-122.4144434840124,0.552937827985,0.18082361288,0.228522334081
50,t9NyDy6BOzwu_JMAjbDBBQ,2019-04,37.7793121,-122.414028,0.550473284141,0.158709473952,0.235493670978
51,1-KIPJTcQWjmMOeY0SPSoQ,2019-04,37.77963341209446,-122.4136216181691,0.502652960428,0.15385710298,0.324232418266
52,jwOWWodCB1pQH94aMm2F5g,2019-04,37.77988757767965,-122.4132995332868,0.575216548195,0.160381747673,0.212506236418
53,cqxa0Adavjj67euQSkiZgw,2019-04,37.7802163,-122.4128758,0.543755433791,0.121435381031,0.290683829409
54,jwS2toSbsT1f1-gu8ZQPGA,2019-04,37.78057809842946,-122.41242325966,0.47225906998,0.0677446466888,0.389717035513
55,NQoIxlZJQtTQwEEqsgcXsw,2019-04,37.7809451,-122.4119616,0.44241253113,0.174651991049,0.327223308496
56,CEEwKWrkp4itHL_9YKnDWQ,2019-04,37.78124634565998,-122.4115792217027,0.477625547716,0.278216319833,0.209172269667
57,Z-0ac4P61nLPZPZNy-caSQ,2019-04,37.78153572287061,-122.4112112535866,0.491605884975,0.207019770912,0.243500879236
58,HyTdf_f2PQ_kyuRj9nxKzg,2019-04,37.78180753167568,-122.4108645540433,0.394900941733,0.358220426012,0.22287136142
59,_vufelZ-6hQY6KlJvsTw_w,2019-05,37.78222193361497,-122.4103995214567,0.494692905405,0.0747907977237,0.382048429258
60,QMFKW86ubhbag1fJhgqi5Q,2017-10,37.78251134584939,-122.4099759797248,0.330592823425,0.264422955935,0.381100243802
61,X0pSpFDgeJe3K7h4LtqVEQ,2017-10,37.78283352888484,-122.4095676963128,0.380886217313,0.401856953424,0.185336366414
62,Uy8Yt0c8jdd83KxODtq-SQ,2017-10,37.78318248418513,-122.409137518183,0.404812975741,0.212366815812,0.311963617959
63,KSJevSe4CELJRymywXwAwA,2019-04,37.7834951,-122.408729,0.420911042864,0.100912306549,0.453691269104
64,pWMKKc0bzXKItP5oQ5GOwg,2019-04,37.78383519988764,-122.4083049213048,0.356869123814,0.332871508751,0.273220803932
65,2tC3M4Q0Zz67VI-IOpr6SA,2019-05,37.78410185895465,-122.4079715456043,0.492756141253,0.203504949566,0.23714316803
66,jSMygS75YJbuDmGKhkFpRQ,2019-05,37.7847518,-122.4071427,0.304688369428,0.222491047977,0.444641756278
67,IvIBJIATZ8ZlhJmM7GxjYw,2019-05,37.7851049,-122.4066975,0.307293722313,0.252206818182,0.377423472933
68,pSa_woGPI7EDXCiPfaGwSQ,2019-05,37.7854928,-122.4062062,0.406163854164,0.169614972597,0.376512404564
69,8aH5-YroHOfgNgs4YcNtfw,2019-05,37.7857757280486,-122.4058415078831,0.324594021559,0.234404861979,0.359062712071
70,1MGl4rYCskDp_o7Utg1HVw,2019-05,37.7861224,-122.4054092,0.221229356675,0.278067335266,0.473356223957
71,npdG0Ap-oMzit8QMw-lbXQ,2019-05,37.78651518243035,-122.4049122333424,0.27702817393,0.359731681939,0.347259870773
72,vM8BvQwYcnt1DjM4n5pL_w,2019-05,37.78685586094744,-122.4044649330062,0.377685868215,0.124233859498,0.465105013801
73,UbatdAlvOCZvMFjuGpmNxw,2019-05,37.78716778527775,-122.4040672258388,0.305602268163,0.187550844479,0.468735986271
74,dkKu2hxK0oeQvmSmzvWyuA,2019-05,37.78755163900584,-122.4035873633345,0.280835199219,0.0813241643158,0.608648046159
75,hPZ0cCdtiwQsI-lPKntatA,2019-05,37.78790599672078,-122.40314516151,0.306417423762,0.0822024025106,0.563255476347
76,oU_MhPm6DwUuWJ0UqFgltQ,2019-05,37.78828651395344,-122.4026697942553,0.251636093062,0.155799632612,0.5619364155
77,8MvHGsMvvtjWH0-NDNJymA,2019-06,37.7890074,-122.4017564,0.259142244559,0.0470753847768,0.649017282599
78,aVrT8ufsT_qrl4QhDfbkwQ,2019-06,37.7892687,-122.4014241,0.243742446135,0.0858616758586,0.629590445013
79,xfTjUKy2PhyqTvbhdEjP7A,2019-06,37.7895948,-122.4010173,0.218980609025,0.200328268554,0.546525191899
80,hA2FDCNyzpYh9w8SZov5jw,2019-06,37.7899908581999,-122.4005145885711,0.244729675382,0.256231889388,0.469906227123
81,hqT0wq9S5vsS6ojEPel-_A,2019-06,37.79032420043663,-122.4000895990584,0.286652569861,0.338176891867,0.339273471448
82,qO8GpZOfcjN1afhi1hFGuw,2019-06,37.79069816250693,-122.3996239900851,0.265749343094,0.195404567323,0.493786045643
83,YmuUgqSESURA7Hj5pAEqfw,2019-06,37.79102417610191,-122.3992076525116,0.250753709937,0.127918559213,0.590093510032
84,MjLo9IpyxQdnq3RKg6mh9Q,2019-06,37.7913834,-122.3987515,0.225197109607,0.401488421954,0.31223980873
85,E7n91jvJcwCHyiSrdl13Lg,2019-06,37.79165534185964,-122.398403586309,0.222322167003,0.113785600932,0.594073599548
86,RZuMtz0grn2rxWOBzRrecQ,2019-06,37.79200664147497,-122.3979687022668,0.201446933909,0.252607781771,0.496419999421
